"","id","prob","algo","N","O","repl","acc.test.mean","ber.test.mean","multiclass.gmean.test.mean","timetrain.test.mean","timepredict.test.mean","timeboth.test.mean","Q","C","M"
"1",1,"t_1004_kdd_synthetic_control","classif.JRip",1,1,1,0.99,0.026,0.973148763899869,0.298,0.1393,0.4373,NA,NA,NA
"2",2,"t_1004_kdd_synthetic_control","classif.JRip",2,1,1,0.991666666666667,0.021,0.978280434094817,0.2983,0.1303,0.4286,NA,NA,NA
"3",3,"t_1004_kdd_synthetic_control","classif.JRip",3,1,1,0.988333333333333,0.031,0.968256504080248,0.3017,0.1297,0.4314,NA,NA,NA
"4",4,"t_1004_kdd_synthetic_control","classif.JRip",4,1,1,0.988333333333333,0.027,0.972037607247379,0.296,0.1449,0.4409,NA,NA,NA
"5",5,"t_1004_kdd_synthetic_control","classif.JRip",5,1,1,0.988333333333333,0.027,0.97233154775749,0.3011,0.1362,0.4373,NA,NA,NA
"6",6,"t_1004_kdd_synthetic_control","classif.JRip",1,2,1,0.988333333333333,0.023,0.976257598580138,0.3079,0.1414,0.4493,NA,NA,NA
"7",7,"t_1004_kdd_synthetic_control","classif.JRip",2,2,1,0.991666666666667,0.017,0.982407053655883,0.3027,0.1438,0.4465,NA,NA,NA
"8",8,"t_1004_kdd_synthetic_control","classif.JRip",3,2,1,0.985,0.037,0.962171359135239,0.3046,0.1336,0.4382,NA,NA,NA
"9",9,"t_1004_kdd_synthetic_control","classif.JRip",4,2,1,0.991666666666667,0.021,0.978468268586322,0.3007,0.1312,0.4319,NA,NA,NA
"10",10,"t_1004_kdd_synthetic_control","classif.JRip",5,2,1,0.981666666666667,0.047,0.951216985957473,0.3023,0.1282,0.4305,NA,NA,NA
"11",11,"t_1004_kdd_synthetic_control","classif.JRip",1,3,1,0.988333333333333,0.023,0.976509743202379,0.2955,0.14,0.4355,NA,NA,NA
"12",12,"t_1004_kdd_synthetic_control","classif.JRip",2,3,1,0.98,0.04,0.958728962366757,0.2971,0.1311,0.4282,NA,NA,NA
"13",13,"t_1004_kdd_synthetic_control","classif.JRip",3,3,1,0.986666666666667,0.028,0.971032556613496,0.3002,0.1319,0.4321,NA,NA,NA
"14",14,"t_1004_kdd_synthetic_control","classif.JRip",4,3,1,0.991666666666667,0.017,0.982646464031211,0.2807,0.1257,0.4064,NA,NA,NA
"15",15,"t_1004_kdd_synthetic_control","classif.JRip",5,3,1,0.998333333333333,0.005,0.994868329805051,0.2978,0.1149,0.4127,NA,NA,NA
"16",16,"t_1004_kdd_synthetic_control","classif.JRip",1,4,1,0.983333333333333,0.034,0.964988678531404,0.2892,0.1247,0.4139,NA,NA,NA
"17",17,"t_1004_kdd_synthetic_control","classif.JRip",2,4,1,0.985,0.025,0.974540908797529,0.2851,0.145,0.4301,NA,NA,NA
"18",18,"t_1004_kdd_synthetic_control","classif.JRip",3,4,1,0.983333333333333,0.038,0.960620223369004,0.2735,0.1164,0.389900000000001,NA,NA,NA
"19",19,"t_1004_kdd_synthetic_control","classif.JRip",4,4,1,0.99,0.018,0.981683209285197,0.2892,0.1311,0.4203,NA,NA,NA
"20",20,"t_1004_kdd_synthetic_control","classif.JRip",5,4,1,0.983333333333333,0.034,0.965334723950291,0.2903,0.1257,0.416,NA,NA,NA
"21",21,"t_1004_kdd_synthetic_control","classif.JRip",1,5,1,0.988333333333333,0.023,0.976164226808444,0.3018,0.1408,0.442599999999999,NA,NA,NA
"22",22,"t_1004_kdd_synthetic_control","classif.JRip",2,5,1,0.988333333333333,0.023,0.976509743202379,0.2993,0.1354,0.4347,NA,NA,NA
