"","id","prob","algo","N","O","repl","acc.test.mean","ber.test.mean","multiclass.gmean.test.mean","timetrain.test.mean","timepredict.test.mean","timeboth.test.mean","Q","C","M"
"23",23,"t_1004_kdd_synthetic_control","classif.JRip",3,5,1,0.991666666666667,0.017,0.982594888147387,0.3012,0.1485,0.4497,NA,NA,NA
"24",24,"t_1004_kdd_synthetic_control","classif.JRip",4,5,1,0.99,0.022,0.977326959344757,0.3225,0.1207,0.4432,NA,NA,NA
"25",25,"t_1004_kdd_synthetic_control","classif.JRip",5,5,1,0.99,0.026,0.973336598391374,0.3084,0.1186,0.427000000000001,NA,NA,NA
"26",26,"t_1004_kdd_synthetic_control","classif.bayesNet",NA,NA,1,1,0,1,0.2795,0.1548,0.4343,"weka.classifiers.bayes.net.search.local.K2",NA,NA
"27",27,"t_1004_kdd_synthetic_control","classif.bayesNet",NA,NA,1,1,0,1,0.2896,0.144,0.4336,"weka.classifiers.bayes.net.search.local.HillClimber",NA,NA
"28",28,"t_1004_kdd_synthetic_control","classif.bayesNet",NA,NA,1,1,0,1,0.2777,0.1393,0.416999999999999,"weka.classifiers.bayes.net.search.local.LAGDHillClimber",NA,NA
"29",29,"t_1004_kdd_synthetic_control","classif.bayesNet",NA,NA,1,1,0,1,0.2795,0.1488,0.428299999999999,"weka.classifiers.bayes.net.search.local.SimulatedAnnealing",NA,NA
"30",30,"t_1004_kdd_synthetic_control","classif.bayesNet",NA,NA,1,1,0,1,0.2876,0.1389,0.4265,"weka.classifiers.bayes.net.search.local.TabuSearch",NA,NA
"31",31,"t_1004_kdd_synthetic_control","classif.bayesNet",NA,NA,1,1,0,1,0.2837,0.1326,0.4163,"weka.classifiers.bayes.net.search.local.TAN",NA,NA
"32",32,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.99,0.022,0.977078328300818,0.2722,0.15,0.4222,NA,0.1,1
"33",33,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.993333333333333,0.008,0.991842868882495,0.2548,0.1651,0.4199,NA,0.1,2
"34",34,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.013,0.986773083592276,0.2301,0.1354,0.3655,NA,0.1,4
"35",35,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.995,0.007,0.992858228537285,0.2437,0.1487,0.3924,NA,0.1,8
"36",36,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.993333333333333,0.008,0.991904753787225,0.2537,0.1628,0.4165,NA,0.1,16
"37",37,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.013,0.986773083592276,0.2505,0.1551,0.4056,NA,0.1,32
"38",38,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.993333333333333,0.008,0.991904753787225,0.2374,0.149,0.3864,NA,0.1,64
"39",39,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.017,0.982300947637276,0.2373,0.1483,0.3856,NA,0.15,1
"40",40,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.99,0.018,0.98169298928115,0.2458,0.1525,0.3983,NA,0.15,2
"41",41,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.017,0.982300947637276,0.2544,0.1406,0.395,NA,0.15,4
"42",42,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.995,0.007,0.992858228537285,0.2408,0.1363,0.3771,NA,0.15,8
"43",43,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.013,0.986773083592276,0.2443,0.1458,0.3901,NA,0.15,16
"44",44,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.013,0.986711198687547,0.2417,0.1498,0.3915,NA,0.15,32
"45",45,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.995,0.003,0.996974539077444,0.2618,0.1438,0.4056,NA,0.15,64
"46",46,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.988333333333333,0.023,0.976267378576091,0.2473,0.146,0.3933,NA,0.2,1
"47",47,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.993333333333333,0.008,0.991904753787225,0.2425,0.1395,0.382,NA,0.2,2
"48",48,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.99,0.018,0.981347472887216,0.2213,0.1389,0.3602,NA,0.2,4
"49",49,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.013,0.986711198687547,0.256,0.162,0.418,NA,0.2,8
"50",50,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.009,0.990837818248612,0.2411,0.1298,0.370899999999999,NA,0.2,16
"51",51,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.99,0.018,0.981295897003393,0.2422,0.1539,0.3961,NA,0.2,32
"52",52,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.99,0.018,0.981285587982487,0.2597,0.1578,0.4175,NA,0.2,64
"53",53,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.99,0.022,0.977220853326151,0.2267,0.1247,0.3514,NA,0.25,1
"54",54,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.013,0.986773083592276,0.2175,0.1176,0.3351,NA,0.25,2
"55",55,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.99,0.022,0.977220853326151,0.2529,0.1604,0.4133,NA,0.25,4
"56",56,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.988333333333333,0.019,0.980677629626361,0.2315,0.1551,0.3866,NA,0.25,8
"57",57,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.99,0.018,0.981295897003393,0.2444,0.1489,0.3933,NA,0.25,16
"58",58,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.017,0.982646464031211,0.241,0.1478,0.3888,NA,0.25,32
"59",59,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.986666666666667,0.028,0.971073823476413,0.2312,0.1525,0.3837,NA,0.25,64
"60",60,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.993333333333333,0.016,0.98330599827116,0.2466,0.1451,0.3917,NA,0.3,1
"61",61,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.017,0.982300947637276,0.2539,0.149000000000001,0.402900000000001,NA,0.3,2
"62",62,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.995,0.007,0.992909804421108,0.2369,0.1479,0.3848,NA,0.3,4
"63",63,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.013,0.986533673216948,0.2635,0.1421,0.4056,NA,0.3,8
"64",64,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.991666666666667,0.017,0.982646464031211,0.2393,0.146,0.3853,NA,0.3,16
"65",65,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.988333333333333,0.023,0.976321908710874,0.2349,0.1398,0.3747,NA,0.3,32
"66",66,"t_1004_kdd_synthetic_control","classif.J48",NA,NA,1,0.995,0.011,0.988731608976219,0.2345,0.1489,0.3834,NA,0.3,64
"67",67,"t_1006_lymph","classif.JRip",1,1,1,0.762619047619048,0.239087301587302,0.754176989567337,0.2154,0.1335,0.3489,NA,NA,NA
"68",68,"t_1006_lymph","classif.JRip",2,1,1,0.802678571428571,0.203373015873016,0.788909505802424,0.2081,0.1343,0.3424,NA,NA,NA
"69",69,"t_1006_lymph","classif.JRip",3,1,1,0.785833333333333,0.221230158730159,0.768940124984283,0.1983,0.122,0.3203,NA,NA,NA
"70",70,"t_1006_lymph","classif.JRip",4,1,1,0.85125,0.151488095238095,0.838151769692706,0.2078,0.1231,0.3309,NA,NA,NA
"71",71,"t_1006_lymph","classif.JRip",5,1,1,0.777619047619048,0.225793650793651,0.746352763133121,0.2158,0.142,0.3578,NA,NA,NA
"72",72,"t_1006_lymph","classif.JRip",1,2,1,0.777321428571429,0.226190476190476,0.760254527344802,0.1989,0.1236,0.3225,NA,NA,NA
"73",73,"t_1006_lymph","classif.JRip",2,2,1,0.81,0.194940476190476,0.796927785925085,0.1924,0.1386,0.331,NA,NA,NA
"74",74,"t_1006_lymph","classif.JRip",3,2,1,0.774583333333333,0.228769841269841,0.760222443284543,0.1904,0.1335,0.3239,NA,NA,NA
"75",75,"t_1006_lymph","classif.JRip",4,2,1,0.803214285714286,0.20109126984127,0.786219510898506,0.2142,0.1487,0.3629,NA,NA,NA
"76",76,"t_1006_lymph","classif.JRip",5,2,1,0.811904761904762,0.19047619047619,0.806463861609335,0.2038,0.1491,0.3529,NA,NA,NA
"77",77,"t_1006_lymph","classif.JRip",1,3,1,0.777440476190476,0.232142857142857,0.75985694461002,0.21,0.158,0.368,NA,NA,NA
"78",78,"t_1006_lymph","classif.JRip",2,3,1,0.824285714285714,0.180357142857143,0.811470144607543,0.2173,0.1276,0.3449,NA,NA,NA
"79",79,"t_1006_lymph","classif.JRip",3,3,1,0.804285714285714,0.198611111111111,0.790318082366498,0.2143,0.1595,0.3738,NA,NA,NA
"80",80,"t_1006_lymph","classif.JRip",4,3,1,0.772619047619048,0.23531746031746,0.752835956820294,0.2129,0.1437,0.3566,NA,NA,NA
"81",81,"t_1006_lymph","classif.JRip",5,3,1,0.797857142857143,0.206349206349206,0.779658676190162,0.2144,0.128,0.342399999999999,NA,NA,NA
"82",82,"t_1006_lymph","classif.JRip",1,4,1,0.757619047619048,0.241468253968254,0.748365064673708,0.2213,0.1386,0.3599,NA,NA,NA
"83",83,"t_1006_lymph","classif.JRip",2,4,1,0.777619047619048,0.220734126984127,0.772922767781147,0.2046,0.1492,0.3538,NA,NA,NA
"84",84,"t_1006_lymph","classif.JRip",3,4,1,0.797857142857143,0.20297619047619,0.783308090244663,0.2077,0.1269,0.3346,NA,NA,NA
"85",85,"t_1006_lymph","classif.JRip",4,4,1,0.771666666666667,0.231150793650794,0.752469045790069,0.2022,0.1511,0.3533,NA,NA,NA
"86",86,"t_1006_lymph","classif.JRip",5,4,1,0.811428571428571,0.189980158730159,0.800080711956947,0.2092,0.1395,0.3487,NA,NA,NA
"87",87,"t_1006_lymph","classif.JRip",1,5,1,0.751130952380952,0.249305555555556,0.735328403663079,0.2025,0.1291,0.3316,NA,NA,NA
"88",88,"t_1006_lymph","classif.JRip",2,5,1,0.736011904761905,0.271329365079365,0.713522341079621,0.2178,0.1096,0.3274,NA,NA,NA
"89",89,"t_1006_lymph","classif.JRip",3,5,1,0.811428571428571,0.190079365079365,0.79302709394433,0.2146,0.137,0.3516,NA,NA,NA
"90",90,"t_1006_lymph","classif.JRip",4,5,1,0.789821428571429,0.209623015873016,0.777161963314521,0.2032,0.1214,0.324600000000001,NA,NA,NA
"91",91,"t_1006_lymph","classif.JRip",5,5,1,0.757142857142857,0.248710317460317,0.730415546197409,0.1862,0.126,0.3122,NA,NA,NA
"92",92,"t_1006_lymph","classif.bayesNet",NA,NA,1,0.798809523809524,0.203075396825397,0.794187205229699,0.1956,0.1471,0.3427,"weka.classifiers.bayes.net.search.local.K2",NA,NA
"93",93,"t_1006_lymph","classif.bayesNet",NA,NA,1,0.823809523809524,0.17906746031746,0.818872906572687,0.1969,0.1504,0.3473,"weka.classifiers.bayes.net.search.local.HillClimber",NA,NA
"94",94,"t_1006_lymph","classif.bayesNet",NA,NA,1,0.790654761904762,0.215178571428571,0.776723987195168,0.192,0.144,0.336,"weka.classifiers.bayes.net.search.local.LAGDHillClimber",NA,NA
"95",95,"t_1006_lymph","classif.bayesNet",NA,NA,1,0.802738095238095,0.197519841269841,0.798250454075263,0.1874,0.1485,0.3359,"weka.classifiers.bayes.net.search.local.SimulatedAnnealing",NA,NA
"96",96,"t_1006_lymph","classif.bayesNet",NA,NA,1,0.79047619047619,0.210416666666667,0.776085411104304,0.175,0.1384,0.3134,"weka.classifiers.bayes.net.search.local.TabuSearch",NA,NA
"97",97,"t_1006_lymph","classif.bayesNet",NA,NA,1,0.829404761904762,0.173115079365079,0.821118637524356,0.1901,0.1394,0.3295,"weka.classifiers.bayes.net.search.local.TAN",NA,NA
"98",98,"t_1006_lymph","classif.J48",NA,NA,1,0.831428571428571,0.168353174603175,0.817471385101918,0.2017,0.1492,0.3509,NA,0.1,1
"99",99,"t_1006_lymph","classif.J48",NA,NA,1,0.791190476190476,0.20515873015873,0.782430521817055,0.1818,0.1318,0.3136,NA,0.1,2
"100",100,"t_1006_lymph","classif.J48",NA,NA,1,0.811428571428571,0.186706349206349,0.804345841615734,0.1912,0.1361,0.3273,NA,0.1,4
"101",101,"t_1006_lymph","classif.J48",NA,NA,1,0.819047619047619,0.183234126984127,0.806156963738433,0.1855,0.1278,0.3133,NA,0.1,8
"102",102,"t_1006_lymph","classif.J48",NA,NA,1,0.791190476190476,0.215079365079365,0.776026741636289,0.1874,0.1445,0.3319,NA,0.1,16
"103",103,"t_1006_lymph","classif.J48",NA,NA,1,0.817261904761905,0.183531746031746,0.813023164257927,0.1817,0.1447,0.3264,NA,0.1,32
"104",104,"t_1006_lymph","classif.J48",NA,NA,1,0.763809523809524,0.23531746031746,0.753105853413776,0.1801,0.1332,0.3133,NA,0.1,64
"105",105,"t_1006_lymph","classif.J48",NA,NA,1,0.763333333333333,0.236111111111111,0.752070788349644,0.1611,0.1208,0.2819,NA,0.15,1
"106",106,"t_1006_lymph","classif.J48",NA,NA,1,0.803154761904762,0.20109126984127,0.789076885574536,0.158,0.1181,0.2761,NA,0.15,2
"107",107,"t_1006_lymph","classif.J48",NA,NA,1,0.811428571428571,0.190376984126984,0.803406297124126,0.189,0.144,0.333,NA,0.15,4
"108",108,"t_1006_lymph","classif.J48",NA,NA,1,0.775595238095238,0.228174603174603,0.757949938258737,0.171,0.1272,0.2982,NA,0.15,8
"109",109,"t_1006_lymph","classif.J48",NA,NA,1,0.761904761904762,0.242361111111111,0.750289367924475,0.1978,0.1496,0.3474,NA,0.15,16
"110",110,"t_1006_lymph","classif.J48",NA,NA,1,0.804761904761905,0.198015873015873,0.798175572983694,0.1889,0.1468,0.3357,NA,0.15,32
"111",111,"t_1006_lymph","classif.J48",NA,NA,1,0.838869047619048,0.162698412698413,0.833021269820815,0.1843,0.147,0.3313,NA,0.15,64
"112",112,"t_1006_lymph","classif.J48",NA,NA,1,0.770654761904762,0.230654761904762,0.765732839080442,0.1868,0.1544,0.3412,NA,0.2,1
"113",113,"t_1006_lymph","classif.J48",NA,NA,1,0.777440476190476,0.22718253968254,0.755536638239164,0.2005,0.1474,0.3479,NA,0.2,2
"114",114,"t_1006_lymph","classif.J48",NA,NA,1,0.804464285714286,0.197619047619048,0.795810490039194,0.1769,0.1572,0.3341,NA,0.2,4
"115",115,"t_1006_lymph","classif.J48",NA,NA,1,0.818392857142857,0.184126984126984,0.810041736574713,0.1783,0.1393,0.3176,NA,0.2,8
"116",116,"t_1006_lymph","classif.J48",NA,NA,1,0.784761904761905,0.212698412698413,0.770883986971855,0.1889,0.1329,0.3218,NA,0.2,16
"117",117,"t_1006_lymph","classif.J48",NA,NA,1,0.777619047619048,0.228075396825397,0.764015308813955,0.1975,0.1369,0.3344,NA,0.2,32
"118",118,"t_1006_lymph","classif.J48",NA,NA,1,0.768452380952381,0.233234126984127,0.763451629930551,0.1853,0.1429,0.3282,NA,0.2,64
"119",119,"t_1006_lymph","classif.J48",NA,NA,1,0.806428571428571,0.198115079365079,0.793734498799777,0.1828,0.1457,0.3285,NA,0.25,1
"120",120,"t_1006_lymph","classif.J48",NA,NA,1,0.791666666666667,0.207738095238095,0.789773967752969,0.1975,0.136,0.3335,NA,0.25,2
"121",121,"t_1006_lymph","classif.J48",NA,NA,1,0.825,0.180059523809524,0.811668663284111,0.1845,0.1342,0.3187,NA,0.25,4
"122",122,"t_1006_lymph","classif.J48",NA,NA,1,0.822797619047619,0.178869047619048,0.818062232535454,0.181399999999999,0.134,0.3154,NA,0.25,8
"123",123,"t_1006_lymph","classif.J48",NA,NA,1,0.809404761904762,0.188095238095238,0.804478243124218,0.191,0.1481,0.3391,NA,0.25,16
"124",124,"t_1006_lymph","classif.J48",NA,NA,1,0.81172619047619,0.190079365079365,0.805681275286461,0.1697,0.1202,0.2899,NA,0.25,32
"125",125,"t_1006_lymph","classif.J48",NA,NA,1,0.770297619047619,0.235912698412698,0.758725138953888,0.197,0.1284,0.3254,NA,0.25,64
"126",126,"t_1006_lymph","classif.J48",NA,NA,1,0.792142857142857,0.208829365079365,0.780606302118134,0.1764,0.1267,0.3031,NA,0.3,1
"127",127,"t_1006_lymph","classif.J48",NA,NA,1,0.798869047619048,0.203769841269841,0.793096815901423,0.2035,0.1619,0.3654,NA,0.3,2
"128",128,"t_1006_lymph","classif.J48",NA,NA,1,0.812857142857143,0.188492063492063,0.806866528699604,0.22,0.1739,0.3939,NA,0.3,4
"129",129,"t_1006_lymph","classif.J48",NA,NA,1,0.796607142857143,0.205357142857143,0.789749165837194,0.2041,0.1589,0.363,NA,0.3,8
"130",130,"t_1006_lymph","classif.J48",NA,NA,1,0.778809523809524,0.224702380952381,0.760978377571162,0.2002,0.1655,0.3657,NA,0.3,16
"131",131,"t_1006_lymph","classif.J48",NA,NA,1,0.782678571428571,0.217956349206349,0.779313178429924,0.2268,0.166,0.3928,NA,0.3,32
"132",132,"t_1006_lymph","classif.J48",NA,NA,1,0.81875,0.178571428571429,0.815466683179927,0.2034,0.1491,0.3525,NA,0.3,64
"133",133,"t_1011_ecoli","classif.JRip",1,1,1,0.952485357779475,0.0474436090225564,0.951599325307682,0.1473,0.0653000000000002,0.2126,NA,NA,NA
"134",134,"t_1011_ecoli","classif.JRip",2,1,1,0.961303794244971,0.0399185463659148,0.959078869692074,0.1439,0.0642,0.2081,NA,NA,NA
"135",135,"t_1011_ecoli","classif.JRip",3,1,1,0.958362617774382,0.042312030075188,0.957015480270112,0.1473,0.0657,0.213,NA,NA,NA
"136",136,"t_1011_ecoli","classif.JRip",4,1,1,0.958283677107207,0.0418483709273183,0.957158187939084,0.1395,0.0750999999999998,0.2146,NA,NA,NA
"137",137,"t_1011_ecoli","classif.JRip",5,1,1,0.958016297428062,0.0418734335839599,0.957903151586899,0.148,0.0651000000000002,0.2131,NA,NA,NA
"138",138,"t_1011_ecoli","classif.JRip",1,2,1,0.946345811051693,0.0531578947368421,0.945184810467086,0.1512,0.0742000000000001,0.2254,NA,NA,NA
"139",139,"t_1011_ecoli","classif.JRip",2,2,1,0.955342500636618,0.0442418546365915,0.955181000547742,0.1536,0.0678999999999998,0.2215,NA,NA,NA
"140",140,"t_1011_ecoli","classif.JRip",3,2,1,0.943295136236313,0.0566478696741855,0.942267728393182,0.1501,0.0602000000000001,0.2103,NA,NA,NA
"141",141,"t_1011_ecoli","classif.JRip",4,2,1,0.958377896613191,0.0418233082706767,0.957563519997521,0.1448,0.0629000000000001,0.2077,NA,NA,NA
"142",142,"t_1011_ecoli","classif.JRip",5,2,1,0.95222816399287,0.0479699248120301,0.95120329669352,0.1386,0.0536000000000001,0.1922,NA,NA,NA
"143",143,"t_1011_ecoli","classif.JRip",1,3,1,0.958283677107207,0.0430513784461153,0.95608194475525,0.1286,0.0597,0.1883,NA,NA,NA
"144",144,"t_1011_ecoli","classif.JRip",2,3,1,0.95585179526356,0.0438721804511278,0.955722622091435,0.1556,0.0580000000000002,0.2136,NA,NA,NA
"145",145,"t_1011_ecoli","classif.JRip",3,3,1,0.952133944486886,0.047374686716792,0.951497456971334,0.1403,0.0756999999999999,0.216,NA,NA,NA
"146",146,"t_1011_ecoli","classif.JRip",4,3,1,0.952554112554113,0.0476817042606516,0.951530667447997,0.1563,0.0718000000000001,0.2281,NA,NA,NA
"147",147,"t_1011_ecoli","classif.JRip",5,3,1,0.964349376114082,0.0363471177944862,0.963305283299865,0.1588,0.0691000000000001,0.2279,NA,NA,NA
"148",148,"t_1011_ecoli","classif.JRip",1,4,1,0.940552584670232,0.0589097744360902,0.940117394213147,0.1591,0.0763,0.2354,NA,NA,NA
"149",149,"t_1011_ecoli","classif.JRip",2,4,1,0.958105423987777,0.0419799498746867,0.957649984644858,0.1453,0.0784000000000001,0.2237,NA,NA,NA
"150",150,"t_1011_ecoli","classif.JRip",3,4,1,0.955164247517189,0.0459899749373434,0.953083176820768,0.1653,0.0684999999999999,0.2338,NA,NA,NA
"151",151,"t_1011_ecoli","classif.JRip",4,4,1,0.958189457601222,0.0416102756892231,0.957669169561194,0.1637,0.0683,0.232,NA,NA,NA
"152",152,"t_1011_ecoli","classif.JRip",5,4,1,0.952910618792972,0.0451691729323308,0.953957087720195,0.1498,0.0614000000000003,0.2112,NA,NA,NA
"153",153,"t_1011_ecoli","classif.JRip",1,5,1,0.955253374076903,0.0431954887218045,0.956401881898013,0.1592,0.0604,0.2196,NA,NA,NA
"154",154,"t_1011_ecoli","classif.JRip",2,5,1,0.955431627196333,0.0443734335839599,0.954873634661451,0.1416,0.0576000000000001,0.1992,NA,NA,NA
"155",155,"t_1011_ecoli","classif.JRip",3,5,1,0.946434937611408,0.0534711779448622,0.94548500599476,0.1509,0.0721,0.223,NA,NA,NA
"156",156,"t_1011_ecoli","classif.JRip",4,5,1,0.952380952380952,0.0487531328320802,0.950653855202033,0.1504,0.0651999999999998,0.2156,NA,NA,NA
"157",157,"t_1011_ecoli","classif.JRip",5,5,1,0.961319073083779,0.0376691729323308,0.961759193402293,0.1503,0.0625,0.2128,NA,NA,NA
"158",158,"t_1011_ecoli","classif.bayesNet",NA,NA,1,0.964081996434938,0.0349436090225564,0.964431621830289,0.1374,0.0778,0.2152,"weka.classifiers.bayes.net.search.local.K2",NA,NA
"159",159,"t_1011_ecoli","classif.bayesNet",NA,NA,1,0.958446651387828,0.0426817042606516,0.956885258633887,0.1557,0.0837999999999998,0.2395,"weka.classifiers.bayes.net.search.local.HillClimber",NA,NA
"160",160,"t_1011_ecoli","classif.bayesNet",NA,NA,1,0.958189457601222,0.0425751879699248,0.956951385765988,0.1257,0.0680999999999999,0.1938,"weka.classifiers.bayes.net.search.local.LAGDHillClimber",NA,NA
"161",161,"t_1011_ecoli","classif.bayesNet",NA,NA,1,0.952737458619812,0.0483020050125313,0.950610813460565,0.1528,0.0734,0.2262,"weka.classifiers.bayes.net.search.local.SimulatedAnnealing",NA,NA
"162",162,"t_1011_ecoli","classif.bayesNet",NA,NA,1,0.967369493251846,0.0318107769423559,0.967348732802012,0.1165,0.0579999999999999,0.1745,"weka.classifiers.bayes.net.search.local.TabuSearch",NA,NA
"163",163,"t_1011_ecoli","classif.bayesNet",NA,NA,1,0.961319073083779,0.0392167919799499,0.960080522977806,0.1379,0.0899000000000001,0.2278,"weka.classifiers.bayes.net.search.local.TAN",NA,NA
"164",164,"t_1011_ecoli","classif.J48",NA,NA,1,0.952821492233257,0.0481453634085213,0.951016134969584,0.1369,0.0832999999999999,0.2202,NA,0.1,1
"165",165,"t_1011_ecoli","classif.J48",NA,NA,1,0.943037942449707,0.0575877192982456,0.940762445638371,0.1431,0.0889,0.232,NA,0.1,2
"166",166,"t_1011_ecoli","classif.J48",NA,NA,1,0.94624649859944,0.0570739348370927,0.941867894359332,0.1547,0.0883999999999998,0.2431,NA,0.1,4
"167",167,"t_1011_ecoli","classif.J48",NA,NA,1,0.958194550547492,0.0425751879699248,0.956401958270495,0.1473,0.0941000000000002,0.2414,NA,0.1,8
"168",168,"t_1011_ecoli","classif.J48",NA,NA,1,0.949192768016297,0.0526942355889724,0.946708172386942,0.1506,0.0931,0.2437,NA,0.1,16
"169",169,"t_1011_ecoli","classif.J48",NA,NA,1,0.949281894576012,0.0523496240601504,0.947066760828579,0.1525,0.0863000000000001,0.2388,NA,0.1,32
"170",170,"t_1011_ecoli","classif.J48",NA,NA,1,0.955436720142603,0.0451817042606516,0.954354480500562,0.1388,0.0832000000000002,0.222,NA,0.1,64
"171",171,"t_1011_ecoli","classif.J48",NA,NA,1,0.949618029029794,0.0508834586466165,0.948722165676039,0.1478,0.0998,0.2476,NA,0.15,1
"172",172,"t_1011_ecoli","classif.J48",NA,NA,1,0.949360835243188,0.05031328320802,0.948835325704144,0.144,0.0927,0.2367,NA,0.15,2
